업종명별(1),2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
업종명별(1),신규,폐업,신규,폐업,신규,폐업,신규,폐업,신규,폐업
합계,1226443,909202,1284589,908076,1372895,900551,1316360,922159,1519284,895379
농업,5856,2558,6584,2918,6576,3191,8135,3500,9113,3561
임업,750,470,694,442,656,450,616,448,648,424
어업,3919,2972,3702,2971,3595,2938,3457,2765,3523,2437
광업,156,159,156,157,129,142,110,149,127,162
음식료품 및 담배제조업,7359,5787,6621,5902,7242,5815,7635,5971,7705,5512
섬유제품 제조업,2449,2152,2227,2052,2141,2045,2298,2014,4695,1971
의복 및 모피 제품 제조업,2505,2066,2298,1867,2331,1947,2226,1828,2231,1525
"가죽, 가방 및 신발류 제조업",3183,2773,3020,2659,3074,2635,2560,2650,2285,2171
목재 및 나무제품 제조업(가구제외),1186,942,999,890,1014,827,1047,842,1043,757
"펄프, 종이 및 종이제품 제조업",963,774,907,744,929,701,859,719,807,604
"출판, 인쇄 및 기록매체 제조업",4834,3869,4470,3725,4910,3492,4874,3364,4842,3365
"석탄, 석유정제품 및 핵연로 제조업",49,34,34,34,34,33,42,29,31,23
화합물 및 화학 제품 제조업,2362,1590,2275,1552,2403,1538,2240,1612,2196,1452
고무 및 프라스틱 제품 제조업,2923,2326,2726,2174,2741,2137,2439,2000,2287,1765
비금속광물 제품 제조업,1617,1176,1404,1166,1370,1083,1369,1091,1303,952
제1차 금속산업 제조업,1167,924,1095,849,1062,824,935,799,879,650
조립금속제품 제조업(기계 및 장비 제외),6160,5026,6179,4766,5812,4457,5525,4500,4892,3729
기타기계 및 장비 제조업,7940,6422,7795,5726,7641,5695,7041,5454,6636,4820
"사무, 계산 및 회계용 기계 조립업",622,329,772,375,589,424,447,417,507,333
기타 전지기계 및 전기변환장치 제조업,3062,2099,3231,1953,3157,1992,2889,2047,2711,1695
"영상, 음향 및 통신장비 제조업",3211,3293,3391,2765,3017,2731,2686,2648,2558,2119
"의료, 정밀, 광학기기 및 시계제조업",1475,1011,1627,920,1582,991,1418,954,1343,770
자동차 및 트레일러 제조업,2102,1700,2344,1704,2216,1659,1972,1545,1818,1428
기타 운송장비 제조업,1234,1322,934,1124,1016,873,1183,785,978,727
가구 및 기타제조업,4231,3601,4187,3219,4468,3163,4162,3110,3685,2744
재생재료 및 가공처리업,181,297,235,204,261,191,256,201,195,174
기타도급제조업,4639,4766,3830,4290,3951,3615,3728,3323,3188,2983
"전기, 가스 및 수도사업",6818,2203,25945,2865,37266,6601,28318,10290,26595,11166
건설업,73087,51773,73107,49072,72903,48465,71926,49250,73015,43907
자동차 관련 소매,7457,5928,7256,5852,6796,5642,6364,5479,6345,4757
도매 및 상품중개업,110168,91534,107083,87356,103238,84090,99171,82390,98218,72955
소매업,195432,170605,198319,172268,204334,167332,231017,177442,291247,178215
숙박업,9743,7361,9783,7246,8872,7282,8973,6985,8477,6745
음식점업,187837,169164,181304,166751,178582,161899,182158,162042,163863,140314
운송업,53045,44518,51626,45078,50105,44110,50295,44745,46967,40278
여행알선 및 운수 관련 서비스업,9301,6569,8207,6461,9080,6304,9542,6294,9356,5946
통신업,1156,819,1160,858,1195,814,1608,780,2121,931
금융 및 금융 관련 서비스업,6332,4639,6580,5019,6460,4539,6793,4692,7159,4748
보험 및 보험 관련 서비스업,1437,2235,1192,2059,1079,1959,1043,1722,1168,1594
부동산업,261317,133847,301924,136008,367220,139403,280509,143700,438654,172531
기계장비 등 장비 임대업,2808,1840,2758,1994,2662,1937,2844,2049,2793,1914
IT관련 및 연구 개발업,17924,10676,20757,11351,23729,11370,25373,12565,30718,12921
"법무, 회계, 건축 및 상담업",18997,10673,19360,11534,20792,11125,22823,11191,27958,11237
광고업 및 기타 산업관련 서비스업,44664,30009,47945,32242,53554,33191,60369,35522,66144,36276
교육서비스업,28431,21850,29656,22362,31486,23448,32844,23569,31071,20418
보건업,6910,4908,6247,4750,5874,4416,5582,4078,5017,3788
위생관련 서비스업,868,736,922,645,1024,618,1251,679,1259,704
"오락, 문화, 운동관련 산업 및 수리업",45817,34940,48374,36488,46082,36954,45956,37447,42562,32903
기타 서비스업,40687,28435,40927,28991,43158,29202,44285,29572,41477,26568
인적용역,18996,12596,20124,12956,23194,13683,24590,14562,24132,15331
가사 서비스업,340,397,289,357,291,309,574,349,733,376
기타,736,509,7,365,2,269,3,-,9,3